N.º de venda,Data da venda,Status,Descrição do status,Pacote de diversos produtos,Unidades,Receita por produtos (BRL),Receita por envio (BRL),Tarifa de venda e impostos,Tarifas de envio,Cancelamentos e reembolsos (BRL),Total (BRL),Venda por publicidade,SKU,# de anúncio,Título do anúncio,Variação,Preço unitário de venda do anúncio (BRL),Tipo de anúncio,ID_Cliente,Estado,País,Forma de entrega,Data a caminho completa,Data de entrega completa,Reclamação aberta,Reclamação encerrada,Em mediação
2000004556664195,2023-06-21 02:55:00,Entregue,Chegou em 29 de junho,Sim,1.0,119.63,0.0,-14.36,-18.45,0.0,86.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,CKDP3N,São Paulo,Brasil,Correios,2023-06-21 11:34:00,2023-06-29 14:54:00,Não,0.0,Não
2000005893321050,2023-06-20 22:09:00,Entregue,Chegou em 27 de junho,Não,2.0,239.26,0.0,-28.72,-36.9,0.0,173.64,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,51OA8X,São Paulo,Brasil,Correios,2023-06-21 11:34:00,2023-06-27 14:24:00,Não,0.0,Não
2000004556734665,2023-06-19 22:05:00,Entregue,Chegou em 24 de junho,Sim,1.0,99.96,0.0,-12.0,-21.45,0.0,66.51,Não,MW-GROWTH-CHOCOLATE-1KG,MLB3716270934,Whey Protein Growth Medium Whey 1kg,Sabor : Chocolate,99.96,Clássico,4REP7T,São Paulo,Brasil,Correios,2023-06-20 17:06:00,2023-06-24 11:04:00,Não,0.0,Não
2000004551428833,2023-06-17 20:48:00,Entregue,Chegou em 26 de junho,Sim,1.0,119.63,0.0,-14.36,-18.45,0.0,86.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,ABBEO6,Rio de Janeiro,Brasil,Correios,2023-06-19 11:29:00,2023-06-26 13:38:00,Não,0.0,Não
2000005872385654,2023-06-17 16:01:00,Entregue,Chegou em 20 de junho,Não,1.0,119.63,0.0,-14.36,-18.45,0.0,86.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,MUD67O,São Paulo,Brasil,Correios,2023-06-19 11:29:00,2023-06-20 13:18:00,Não,0.0,Não
2000004542988007,2023-06-14 22:02:00,Entregue,Chegou em 26 de junho,Sim,1.0,49.9,9.79,-11.49,-9.79,0.0,38.41,Sim,MGS-120CAPS,MLB3157882184,Multivitamínico A Z 120 Caps - Growth Original,Sabor : Sem Sabor,49.9,Clássico,K0RDNU,São Paulo,Brasil,Correios,2023-06-15 11:31:00,2023-06-26 11:14:00,Não,0.0,Não
2000005856204872,2023-06-14 21:33:00,Entregue,Chegou em 21 de junho,Não,1.0,49.9,17.5,-11.49,-17.5,0.0,38.41,Sim,MGS-120CAPS,MLB3157882184,Multivitamínico A Z 120 Caps - Growth Original,Sabor : Sem Sabor,49.9,Clássico,ARKOV8,Goiás,Brasil,Correios,2023-06-15 11:31:00,2023-06-21 13:57:00,Não,0.0,Não
2000005856183592,2023-06-14 21:33:00,Entregue,Chegou em 19 de junho,Não,1.0,49.9,40.5,-11.49,-40.5,0.0,38.41,Sim,MGS-120CAPS,MLB3157882184,Multivitamínico A Z 120 Caps - Growth Original,Sabor : Sem Sabor,49.9,Clássico,UZ0NCR,Paraná,Brasil,Correios,2023-06-15 11:31:00,2023-06-19 09:27:00,Não,0.0,Não
2000005846697594,2023-06-13 17:48:00,Entregue,Chegou em 19 de junho,Não,2.0,99.8,10.82,0.0,-10.82,0.0,99.8,Não,MGS-120CAPS,MLB3157882184,Multivitamínico A Z 120 Caps - Growth Original,Sabor : Sem Sabor,49.9,Clássico,41HJH2,Minas Gerais,Brasil,Correios,2023-06-14 11:35:00,2023-06-19 11:35:00,Não,0.0,Não
2000005813572458,2023-06-08 13:41:00,Entregue,Chegou em 15 de junho,Não,1.0,119.63,0.0,-14.36,-18.45,0.0,86.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,GW75L3,Paraná,Brasil,Correios,2023-06-09 11:36:00,2023-06-15 15:41:00,Não,0.0,Não
